2026-05-09 12:44:55 | INFO     | core.orchestrator | Inizializzazione JARVIS...
2026-05-09 12:44:56 | INFO     | tools.registry | Auto-discovered 19 tools from C:\Users\veltr\Desktop\Jarvis\tools
2026-05-09 12:44:56 | INFO     | core.orchestrator | ✓ 18 tool caricati: ['create_note', 'list_directory', 'read_file', 'search_files', 'write_file', 'edit_source', 'list_source', 'read_source', 'rollback_source', 'open_app', 'run_script', 'say', 'set_reminder', 'system_info', 'calculate', 'get_time', 'http_get', 'web_search']
2026-05-09 12:44:56 | INFO     | comtypes.client._code_cache | Imported existing <module 'comtypes.gen' from 'C:\\Users\\veltr\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
2026-05-09 12:44:56 | INFO     | comtypes.client._code_cache | Using writeable comtypes cache directory: 'C:\Users\veltr\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\comtypes\gen'
2026-05-09 12:44:56 | INFO     | __main__ | TTS pronto ✓
2026-05-09 12:44:56 | INFO     | __main__ | Caricamento modello Vosk da 'vosk-model-it'...
2026-05-09 12:44:56 | INFO     | __main__ | Modello Vosk pronto ✓
2026-05-09 12:44:56 | INFO     | core.orchestrator | ✓ LLM: llama3.1
2026-05-09 12:44:56 | INFO     | core.orchestrator | JARVIS pronto ✓
2026-05-09 12:45:15 | INFO     | core.orchestrator | Spegnimento JARVIS...
2026-05-09 12:45:15 | INFO     | core.orchestrator | JARVIS spento.
2026-05-09 12:46:13 | INFO     | core.orchestrator | Inizializzazione JARVIS...
2026-05-09 12:46:13 | INFO     | tools.registry | Auto-discovered 19 tools from C:\Users\veltr\Desktop\Jarvis\tools
2026-05-09 12:46:13 | INFO     | core.orchestrator | ✓ 18 tool caricati: ['create_note', 'list_directory', 'read_file', 'search_files', 'write_file', 'edit_source', 'list_source', 'read_source', 'rollback_source', 'open_app', 'run_script', 'say', 'set_reminder', 'system_info', 'calculate', 'get_time', 'http_get', 'web_search']
2026-05-09 12:46:13 | INFO     | comtypes.client._code_cache | Imported existing <module 'comtypes.gen' from 'C:\\Users\\veltr\\AppData\\Local\\Python\\pythoncore-3.14-64\\Lib\\site-packages\\comtypes\\gen\\__init__.py'>
2026-05-09 12:46:13 | INFO     | comtypes.client._code_cache | Using writeable comtypes cache directory: 'C:\Users\veltr\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\comtypes\gen'
2026-05-09 12:46:13 | INFO     | __main__ | Caricamento modello Vosk da 'vosk-model-it'...
2026-05-09 12:46:13 | INFO     | __main__ | TTS pronto ✓
2026-05-09 12:46:14 | INFO     | __main__ | Modello Vosk pronto ✓
2026-05-09 12:46:14 | INFO     | core.orchestrator | ✓ LLM: llama3.1
2026-05-09 12:46:14 | INFO     | core.orchestrator | JARVIS pronto ✓
2026-05-09 12:47:39 | INFO     | core.router | Routing action: cpu_usage
2026-05-09 12:48:39 | INFO     | core.orchestrator | Spegnimento JARVIS...
2026-05-09 12:48:39 | INFO     | core.orchestrator | JARVIS spento.
